Letter,Disease Name,URL,Symptoms,IsRare
A,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,[],0
A,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,[],0
A,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"['Insulin resistance.Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops.', 'Certain drugs and supplements.High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans.', 'Cancer.Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver.']",1
A,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,"['Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat.', 'Swallowed food or saliva flowing back into the throat.', 'Heartburn.', 'Belching.', 'Chest pain that comes and goes.', 'Coughing at night.', 'Pneumonia from getting food in the lungs.', 'Weight loss.', 'Vomiting.']",1
A,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,[],0
A,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,[],0
A,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,[],0
A,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,[],0
A,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,"['Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.', 'Ringing in the affected ear, known as tinnitus.', 'Loss of balance or not feeling steady.', 'Dizziness.', 'Facial numbness and, very rarely, weakness or loss of muscle movement.']",1
A,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,"['Thick ears and lips.', 'A broad nose.', 'Enlarged hands and feet.', 'A jutting brow or jaw.', 'Gaps between teeth.', 'An enlarged tongue.', 'An expanded rib cage that may cause the chest to have a round shape.']",1
A,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,[],0
A,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,[],0
A,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,"['Sudden arm or leg weakness', 'Sudden loss of muscle tone', 'Sudden loss of reflexes']",1
A,Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,[],0
A,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,[],0
A,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,[],0
A,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,[],0
A,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,[],0
A,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,"['Extreme tiredness, also called fatigue.', 'Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension.', 'Sweating due to low blood sugar, also called hypoglycemia.', 'Upset stomach, diarrhea or vomiting.', 'Pain in the stomach area, also called the abdomen.', 'Muscle cramps, weakness, widespread pain or joint pain.']",1
A,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,[],0
A,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,[],0
A,Adnexal tumors and masses,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,[],0
A,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,"['Back pain.', 'Belly pain.', 'Losing weight without trying.', 'Loss of appetite.']",1
A,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,[],0
