Letter,Disease Name,URL,Symptoms
A,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,"Deep, constant pain in the belly area or side of the belly. Back pain. A throbbing or pulsing feeling near the belly button."
A,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,A sudden stop in activity without falling. Lip smacking. Eyelid flutters. Chewing motions. Finger rubbing. Small movements of both hands.
A,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops. Certain drugs and supplements. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans. Cancer. Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver."
A,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,"Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat. Swallowed food or saliva flowing back into the throat. Heartburn. Belching. Chest pain that comes and goes. Coughing at night. Pneumonia from getting food in the lungs. Weight loss. Vomiting."
A,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,"Age. Achilles tendinitis is more common with age. Physical problems. A flat arch in the foot or a high arch can increase strain in the Achilles tendon. Obesity and tight calf muscles also can increase tendon stress. Having legs that are different lengths also can increase the risk. Having had Achilles tendinitis. This increases the risk of getting it again. Training choices. Running in worn-out shoes can increase the risk of Achilles tendinitis. So can running with poor form. Tendon pain occurs more often in cold weather than in warm weather. Running hills also can raise the risk of Achilles injury. Medical conditions. People who have the skin condition called psoriasis, high cholesterol or high blood pressure are at higher risk of getting Achilles tendinitis. Medicines. Certain types of antibiotics, called fluoroquinolones, have been linked with higher rates of Achilles tendinitis."
A,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"The feeling of having been kicked in the calf Pain, possibly severe, and swelling near the heel An inability to bend the foot downward or ""push off"" the injured leg when walking An inability to stand on the toes on the injured leg A popping or snapping sound when the injury occurs"
A,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,"A loud pop or a ""popping"" sensation in the knee Severe pain and inability to continue activity Rapid swelling Loss of range of motion A feeling of instability or ""giving way"" with weight bearing"
A,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red, tender bumps (papules) Pimples (pustules), which are papules with pus at their tips Large, solid, painful lumps under the skin (nodules) Painful, pus-filled lumps under the skin (cystic lesions)"
A,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,"Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side. Ringing in the affected ear, known as tinnitus. Loss of balance or not feeling steady. Dizziness. Facial numbness and, very rarely, weakness or loss of muscle movement."
A,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Thick ears and lips. A broad nose. Enlarged hands and feet. A jutting brow or jaw. Gaps between teeth. An enlarged tongue. An expanded rib cage that may cause the chest to have a round shape.
A,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,"Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter Flat to slightly raised patch or bump on the top layer of skin In some cases, a hard, wartlike surface Color variations, including pink, red or brown Itching, burning, bleeding or crusting New patches or bumps on sun-exposed areas of the head, neck, hands and forearms"
A,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,"Chest pain or discomfort. It may feel like aching, pressure, tightness or burning. Chest pain also is called angina. Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw. Nausea or vomiting. Pain or burning in the upper belly, called indigestion. Shortness of breath, also called dyspnea. Sudden, heavy sweating. Racing heartbeat. Feeling lightheaded or dizzy. Fainting. Unusual fatigue."
A,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,Sudden arm or leg weakness Sudden loss of muscle tone Sudden loss of reflexes
A,Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,"Less urine output. Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet. Tiredness. Confusion or fogginess. Nausea. Pain in the belly or in the side below the rib cage. Weakness. Irregular heartbeat. Itching. Loss of appetite. Chest pain or pressure. Seizures or coma in severe cases."
A,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,"Yellowing of the skin and eyeballs, called jaundice. Pain in the upper right belly area, called the abdomen. A swollen belly, known as ascites. Nausea and vomiting. A general sense of feeling unwell, known as malaise. Disorientation or confusion. Sleepiness. Breath with a musty or sweet odor. Tremors."
A,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,"Bleeding from the gums Bone pain Fever Frequent infections Frequent or severe nosebleeds Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin Pale skin Shortness of breath Weakness, fatigue or a general decrease in energy"
A,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,"Fever. Pain. Common places for pain include the bones, back and stomach. Feeling very tired. Paleness or change in skin color. Frequent infections. Easy bruising. Bleeding with no clear cause, such as in the nose or gums. Shortness of breath."
A,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,"Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip. Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose. Pain, tenderness, swelling and pressure around the eyes, cheeks, nose or forehead that gets worse when bending over."
A,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,"Extreme tiredness, also called fatigue. Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension. Sweating due to low blood sugar, also called hypoglycemia. Upset stomach, diarrhea or vomiting. Pain in the stomach area, also called the abdomen. Muscle cramps, weakness, widespread pain or joint pain."
A,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,"Heavy or prolonged menstrual bleeding Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea) Chronic pelvic pain Painful intercourse (dyspareunia)"
A,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,"Feeling sad, hopeless or not enjoying things you used to enjoy. Crying often. Worrying, or feeling anxious, nervous, jittery or stressed out. Feeling irritable or like you can't handle anything and don't know where to start. Having trouble sleeping. Not eating enough. Having difficulty concentrating. Having difficulty with daily activities. Withdrawing from family and friends who support you socially. Not doing important things, such as going to work or paying bills. Thinking about suicide or acting on those thoughts."
A,Adnexal tumors and masses,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,"Pain, including pain in the pelvis or belly, painful period cramps that are worse than usual, and painful sex. A feeling of fullness or pressure in the pelvis or belly, or feeling full quickly when eating. Nausea and vomiting. Constipation or bloating. Urinating a lot or having trouble urinating. Bleeding from the vagina that is out of the ordinary. Fever."
A,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,Back pain. Belly pain. Losing weight without trying. Loss of appetite.
A,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,
A,Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,Impulsiveness Disorganization and problems prioritizing Poor time management skills Problems focusing on a task Trouble multitasking Excessive activity or restlessness Poor planning Low frustration tolerance Frequent mood swings Problems following through and completing tasks Hot temper Trouble coping with stress
A,Adult Still disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,"Fever. Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer. Rash. A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs. Sore throat. This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender. Achy and swollen joints. Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks. Muscle pain. Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities."
A,Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,"Are flat, oval areas of increased pigmentation. Are usually tan to dark brown. Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back. Range from freckle size to about 1/2 inch (13 millimeters) across. Can group together, making them more noticeable."
A,Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,"Leaving home alone. Crowds or waiting in line. Enclosed spaces, such as movie theaters, elevators or small stores. Open spaces, such as parking lots, bridges or malls. Using public transportation, such as a bus, plane or train."
A,Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,Discomfort in the ear. Feeling of fullness or stuffiness in the ear. Muffled hearing or some hearing loss.
A,Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,"Freckles. Moles, with or without color, which are sometimes pink. Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez). Sunburn and no ability to tan."
A,Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,"Facial redness (flushing) Red, itchy skin bumps (hives) Worsening of pre-existing asthma Runny or stuffy nose Low blood pressure Nausea and vomiting Diarrhea"
A,Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,"Confusion. Vomiting. Seizures. Slow breathing, which is fewer than eight breaths a minute. Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths. Skin that looks blue, gray or pale. Low body temperature, also known as hypothermia. Trouble staying conscious or awake."
A,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Being unable to limit the amount of alcohol you drink Wanting to cut down on how much you drink or making unsuccessful attempts to do so Spending a lot of time drinking, getting alcohol or recovering from alcohol use Feeling a strong craving or urge to drink alcohol Failing to fulfill major obligations at work, school or home due to repeated alcohol use Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems Giving up or reducing social and work activities and hobbies to use alcohol Using alcohol in situations where it's not safe, such as when driving or swimming Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
A,Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,"Loss of appetite. Nausea and vomiting. Belly tenderness. Fever, often low grade. Tiredness and weakness."
A,Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,"Sneezing. Itching of the skin, nose, eyes or roof of the mouth. Runny, stuffy nose. Tiredness, also called fatigue. Watery, red or swollen eyes, also called allergic conjunctivitis."
A,Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,"Hives and itching. Swelling of the lips, face, throat or eyelids. Wheezing or shortness of breath. Stomach pain, diarrhea, nausea or vomiting."
A,Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,"Repeat statements and questions over and over. Forget conversations, appointments or events. Misplace items, often putting them in places that don't make sense. Get lost in places they used to know well. Forget the names of family members and everyday objects. Have trouble finding the right words, expressing thoughts or having conversations."
A,Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,"Conventional ameloblastoma. This is the most common type and grows aggressively, usually in the lower jawbone, and approximately 10% recur after treatment. Unicystic ameloblastoma. This type is less aggressive, but typically occurs at a younger age. The tumor is often in the back of the lower jawbone at the molars. Recurrence is possible after treatment. Peripheral ameloblastoma. This type is rare and affects the gums and oral tissue in the upper or lower jaw. The tumor has a low risk of recurrence after treatment. Metastasizing ameloblastoma. This type is very rare and is defined by tumor cells that occur away from the primary site in the jaw."
A,Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,Milky nipple discharge Hair loss Headache Vision changes Excess facial hair Pelvic pain Acne
A,Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,Trouble learning new information. Trouble remembering past events and previously familiar information.
A,Ampullary cancer,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066,"Yellowing of the skin and whites of the eyes, called jaundice. Diarrhea. Clay-colored stools. Abdominal pain. Fever. Blood in the stool. Nausea. Vomiting. Weight loss."
A,Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,"Serious fatigue and weakness. Shortness of breath. Numbness, tingling, or pain in the hands or feet. Swelling of the ankles and legs."
A,Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,"Trouble walking or doing usual daily activities. Tripping and falling. Weakness in the legs, feet or ankles. Hand weakness or clumsiness. Slurred speech or trouble swallowing. Weakness associated with muscle cramps and twitching in the arms, shoulders and tongue. Untimely crying, laughing or yawning. Thinking or behavioral changes."
A,Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,Bleeding from the anus or rectum. Blood in the stool. Pain in the area of the anus. A mass or growth in the anal canal. Anal itching. Having to go to the bathroom more often.
A,Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,Pain during bowel movements. Pain after bowel movements that can last up to several hours. Bright red blood on the stool or toilet paper after a bowel movement. A visible crack in the skin around the anus. A small lump or skin tag near the anal fissure.
A,Anal fistula,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871,"An opening on the skin around the anus A red, inflamed area around the tunnel opening Oozing of pus, blood or stool from the tunnel opening Pain in the rectum and anus, especially when sitting or passing stool Fever"
A,Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,Anal itching is severe or constant You have anal bleeding or stool leakage The anal area seems to be infected You can't figure out what's causing a constant itch
A,Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,"Skin reactions, including hives and itching and flushed or pale skin Low blood pressure (hypotension) Constriction of the airways and a swollen tongue or throat, which can cause wheezing and trouble breathing A weak and rapid pulse Nausea, vomiting or diarrhea Dizziness or fainting"
A,Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,"Tiredness. Weakness. Shortness of breath. Pale or yellowish skin, which might be more obvious on white skin than on Black or brown skin. Irregular heartbeat. Dizziness or lightheadedness. Chest pain. Cold hands and feet. Headaches."
A,Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,
A,Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,"Developmental delays, including no crawling or babbling at 6 to 12 months. Mental disability, also called intellectual disability. No speech or little speech. Trouble walking, moving or balancing. Smiling and laughing often and seeming happy. Being easy to excite. Trouble sucking or feeding. Trouble going to sleep and staying asleep."
A,Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,Burning. Fullness. Pressure. Squeezing.
