Letter,Disease Name,URL,Symptoms,IsRare
A,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,"['Abdominal aortic aneurysms often grow slowly. You might not notice any symptoms. This makes them hard to find. Many start small and stay small. Others get bigger over time, sometimes quickly. Some aneurysms never rupture.', ""If you have an abdominal aortic aneurysm that's getting bigger, symptoms might include:"", 'Deep, constant pain in the belly area or side of the belly.', 'Back pain.', 'A throbbing or pulsing feeling near the belly button.', 'If you have pain, especially if pain is sudden and very bad, get medical help right away.', 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.']",0
A,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,"[""A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure."", 'Symptoms of absence seizures include:', 'A sudden stop in activity without falling.', 'Lip smacking.', 'Eyelid flutters.', 'Chewing motions.', 'Finger rubbing.', 'Small movements of both hands.', ""Afterward, there's usually no memory of the incident. But if the seizure is longer, the person may be aware of missed time. Some people have many episodes daily. When it happens, it can interfere with school or daily activities."", ""A child may have absence seizures for some time before an adult notices them. This is because the seizures are so brief. A decline in a child's learning ability may be the first sign of the seizure disorder. Teachers may say the child has trouble paying attention or that a child is often daydreaming."", ""Contact your child's pediatrician:"", ""If you're concerned that your child may be having seizures."", 'If your child has epilepsy but develops symptoms of a new type of seizure.', 'If the seizures continue to occur despite taking antiseizure medicine.', 'Contact 911 or emergency services in your area:', 'If you observe prolonged automatic behaviors lasting minutes to hours. This may include activities such as eating or moving without awareness. It also might include prolonged confusion. These are possible symptoms of a condition called status epilepticus.', 'After any seizure lasting more than five minutes.', 'There is a problem with information submitted for this request.\n                    Review/update the information highlighted below and resubmit the form.', 'Sign up for free and receive the latest on epilepsy treatment, care\n                    and management.', 'ErrorEmail field is required', 'ErrorInclude a valid email\n                    address', 'We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in ourNotice of Privacy Practices. You may opt out of email communications at any time by clicking on the unsubscribe link in the email.', ""You'll soon start receiving the latest health information you\n                    requested in your inbox."", 'Please, try again in a couple of minutes']",0
A,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"['The main sign of acanthosis nigricans is dark, thick, velvety skin in body folds and creases. It often appears in the armpits, groin and back of the neck. It develops slowly. The affected skin might be itchy, have an odor and develop skin tags.']",1
A,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,"['Achalasia symptoms generally appear gradually and get worse over time. Symptoms may include:', 'Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat.', 'Swallowed food or saliva flowing back into the throat.', 'Heartburn.', 'Belching.', 'Chest pain that comes and goes.', 'Coughing at night.', 'Pneumonia from getting food in the lungs.', 'Weight loss.', 'Vomiting.', 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.', 'Subscribe for free and receive your in-depth guide to\n                            digestive health, plus the latest on health innovations and news. You can unsubscribe at any\n                            time.Click here for an email preview.', 'ErrorEmail field is required', 'ErrorInclude a valid email address', 'We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in ourNotice of Privacy Practices. You may opt out of email communications at any time by clicking on the unsubscribe link in the email.', 'Your in-depth digestive health guide will be in your inbox shortly. You will also receive\n                                emails from Mayo Clinic on the latest health news, research, and care.', 'If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us\n                                atnewsletters@mayoclinic.com.', 'Please, try again in a couple of minutes']",1
A,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,"['Achilles tendinitis pain most often begins as a mild ache in the back of the leg or above the heel after running or other sports activity. More-severe burning or aching pain might occur after running a long time, stair climbing or sprinting. Over time, there might be pain even at rest.', 'Achilles tendinitis can make it hard to use the affected foot. The area also might be tender or stiff, especially in the morning. The soreness usually gets better with mild activity.', 'Achilles tendinitis is an injury of the Achilles (uh-KILL-eez) tendon often caused by too much use. The Achilles tendon is the band of tissue that joins calf muscles at the back of the lower leg to the heel bone.']",0
A,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"[""Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:"", 'The feeling of having been kicked in the calf', 'Pain, possibly severe, and swelling near the heel', 'An inability to bend the foot downward or ""push off"" the injured leg when walking', 'An inability to stand on the toes on the injured leg', 'A popping or snapping sound when the injury occurs', ""Seek medical advice immediately if you hear a pop in your heel, especially if you can't walk properly afterward."", 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.']",0
A,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,"['Signs and symptoms of anACLinjury usually include:', 'A loud pop or a ""popping"" sensation in the knee', 'Severe pain and inability to continue activity', 'Rapid swelling', 'Loss of range of motion', 'A feeling of instability or ""giving way"" with weight bearing', ""Seek immediate care if any injury to your knee causes signs or symptoms of anACLinjury. The knee joint is a complex structure of bones, ligaments, tendons and other tissues that work together. It's important to get a prompt and accurate diagnosis to determine the severity of the injury and get proper treatment."", 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.']",0
A,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"['Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.', 'Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.', 'Acne signs vary depending on the severity of your condition:', 'Whiteheads (closed plugged pores)', 'Blackheads (open plugged pores)', 'Small red, tender bumps (papules)', 'Pimples (pustules), which are papules with pus at their tips', 'Large, solid, painful lumps under the skin (nodules)', 'Painful, pus-filled lumps under the skin (cystic lesions)', 'Acne usually appears on the face, forehead, chest, upper back and shoulders.', ""If self-care remedies don't clear your acne, see your primary care doctor. He or she can prescribe stronger medications. If acne persists or is severe, you may want to seek medical treatment from a doctor who specializes in the skin (dermatologist or pediatric dermatologist)."", 'For many women, acne can persist for decades, with flares common a week before menstruation. This type of acne tends to clear up without treatment in women who use contraceptives.', 'In older adults, a sudden onset of severe acne may signal an underlying disease requiring medical attention.', ""The Food and Drug Administration (FDA) warns that some popular nonprescription acne lotions, cleansers and other skin products can cause a serious reaction. This type of reaction is quite rare, so don't confuse it with any redness, irritation or itchiness that occurs in areas where you've applied medications or products."", 'Seek emergency medical helpif after using a skin product you experience:', 'Faintness', 'Difficulty breathing', 'Swelling of the eyes, face, lips or tongue', 'Tightness of the throat', 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.']",0
A,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,"[""Symptoms of an acoustic neuroma often are easy to miss and may take years to develop. Symptoms may occur because of the tumor's effects on the hearing and balance nerves. The tumor also can put pressure on the facial nerve that directs facial muscles and the trigeminal nerve that affects feeling in the face. Blood vessels or other brain structures also can be affected by an acoustic neuroma."", 'As the tumor grows, it may be more likely to cause more noticeable or worse symptoms.', 'Common signs and symptoms of an acoustic neuroma include:', 'Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.', 'Ringing in the affected ear, known as tinnitus.', 'Loss of balance or not feeling steady.', 'Dizziness.', 'Facial numbness and, very rarely, weakness or loss of muscle movement.', 'Rarely, an acoustic neuroma may grow large enough to compress the brainstem and become life-threatening.', 'See a healthcare professional if you notice hearing loss in one ear, ringing in your ear or trouble with balance.', 'Early diagnosis of an acoustic neuroma may help keep the tumor from growing large enough to cause complications such as total hearing loss.', 'There is a problem with\n                                information submitted for this request. Review/update the\n                                information highlighted below and resubmit the form.', 'Sign up for free and receive the latest on brain tumor treatment, diagnosis and surgery.', 'ErrorEmail field is required', 'ErrorInclude a valid email address', 'We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in ourNotice of Privacy Practices. You may opt out of email communications at any time by clicking on the unsubscribe link in the email.', 'You will receive the first brain tumor email in your inbox shortly, which will include information on treatment, diagnosis, surgery and how brain cancer teams at Mayo Clinic approach personalized care.', 'Please, try again in a couple of minutes']",1
A,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,"['Acromegaly symptoms can change the way some body parts look. Changes can include:', 'Thick ears and lips.', 'A broad nose.', 'Enlarged hands and feet.', 'A jutting brow or jaw.', 'Gaps between teeth.', 'An enlarged tongue.', 'An expanded rib cage that may cause the chest to have a round shape.', 'Skin changes can include:', 'Acne.', 'Harmless skin growths called skin tags.', 'Coarse, oily and thickened skin.', 'Swelling in the tissue under the skin.', ""Most often, people with acromegaly don't have every possible body change. And because the changes come on slowly, they may take years to notice. But over time, rings may no longer fit fingers like they used to. Or shoe size may get bigger. Sometimes, people notice the changes only by comparing old photos with newer ones."", 'Other acromegaly symptoms can include:', 'Vision troubles, including loss of side vision.', 'More sweating and body odor than is typical.', 'Extreme tiredness.', 'Headaches.', 'Joint pain.', 'Deeper voice.', ""Get a healthcare checkup if you think you have symptoms of acromegaly. The condition usually develops slowly. Even family members may take a long time to notice the physical changes that happen. But it's important for a healthcare professional to find the condition as early as possible. Treatment can help prevent serious health conditions that can happen along with acromegaly.""]",1
