Letter,Disease Name,URL
A,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
A,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683
A,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983
A,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850
A,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020
A,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234
A,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
A,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
A,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127
A,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222
A,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969
A,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136
A,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046
A,Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
A,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863
A,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
A,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
A,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671
A,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
A,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138
A,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224
A,Adnexal tumors and masses,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053
A,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026
A,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157
A,Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
A,Adult Still disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907
A,Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859
A,Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987
A,Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701
A,Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184
A,Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211
A,Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386
A,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
A,Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388
A,Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497
A,Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608
A,Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447
A,Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278
A,Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299
A,Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360
A,Ampullary cancer,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066
A,Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178
A,Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022
A,Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140
A,Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424
A,Anal fistula,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871
A,Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345
A,Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468
A,Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360
A,Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633
A,Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621
A,Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373
A,Angiosarcoma,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244
A,Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808
A,Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591
A,Anorgasmia in women,https://www.mayoclinic.org/diseases-conditions/anorgasmia/symptoms-causes/syc-20369422
A,Anterior vaginal prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452
A,Anthrax,https://www.mayoclinic.org/diseases-conditions/anthrax/symptoms-causes/syc-20356203
A,Antibiotic-associated diarrhea,https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/symptoms-causes/syc-20352231
A,Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831
A,Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928
A,Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961
A,Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472
A,Aortic dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496
A,Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117
A,Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129
A,Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139
A,Aphasia,https://www.mayoclinic.org/diseases-conditions/aphasia/symptoms-causes/syc-20369518
A,Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015
A,Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543
A,ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
